# UV-Vis of gold nanoparticles in water. Plasmon ~525 nm. Synthetic.
wavelength_nm,absorbance
518.0,1.3709
519.0,1.3899
520.0,1.3902
521.0,1.3983
522.0,1.4081
523.0,1.4088
524.0,1.4147
525.0,1.3941
526.0,1.3999
527.0,1.4078
528.0,1.3944
529.0,1.3951
530.0,1.3995
531.0,1.389
532.0,1.3725
533.0,1.3712
534.0,1.3627
535.0,1.3493
536.0,1.3369
537.0,1.3257
538.0,1.304
539.0,1.2978
540.0,1.2771
541.0,1.2678
542.0,1.2511
543.0,1.2268
544.0,1.2159
545.0,1.1955
546.0,1.1737
547.0,1.1572
548.0,1.131
549.0,1.1097
550.0,1.0896
551.0,1.0665
552.0,1.0498
553.0,1.0091
554.0,0.996
555.0,0.9638
556.0,0.9474
557.0,0.9271
558.0,0.9017
559.0,0.8822
560.0,0.8547
561.0,0.8151
562.0,0.7989
563.0,0.7881
564.0,0.7641
565.0,0.7329
566.0,0.7009
567.0,0.696
568.0,0.6513
569.0,0.6404
570.0,0.6159
571.0,0.595
572.0,0.5658
573.0,0.5481
574.0,0.5342
575.0,0.5055
576.0,0.4806
577.0,0.4675
578.0,0.4485
579.0,0.4283
580.0,0.4065
581.0,0.3951
582.0,0.3742
583.0,0.3518
584.0,0.3423
585.0,0.325
586.0,0.3103
587.0,0.286
588.0,0.2762
589.0,0.2683
590.0,0.2572
591.0,0.2412
592.0,0.2278
593.0,0.2186
594.0,0.2084
595.0,0.2012
596.0,0.1842
597.0,0.1688
598.0,0.1644
599.0,0.1429
600.0,0.1442
601.0,0.1332
602.0,0.1273
603.0,0.1223
604.0,0.1128
605.0,0.0984
606.0,0.0973
607.0,0.0889
608.0,0.0869
609.0,0.0833
610.0,0.0714
611.0,0.0749
612.0,0.0731
613.0,0.0608
614.0,0.0617
615.0,0.0467
616.0,0.0477
617.0,0.0518
618.0,0.0349
619.0,0.0382
620.0,0.0334
621.0,0.041
622.0,0.0385
623.0,0.0273
624.0,0.0289
625.0,0.0132
626.0,0.0286
627.0,0.0244
628.0,0.0276
629.0,0.0076
630.0,0.0198
631.0,0.015
632.0,0.0025
633.0,0.011
634.0,0.013
635.0,0.0165
636.0,0.0126
637.0,0.0082
638.0,0.0123
639.0,0.0088
640.0,0.0055
641.0,0.003
642.0,0.0083
643.0,0.0079
644.0,0.0159
645.0,0.004
646.0,0.0139
647.0,0.0073
648.0,0.0111
649.0,0.0004
650.0,0.0003
651.0,0.0028
652.0,0.0086
653.0,0.0048
654.0,0.0075
655.0,0.0052
656.0,0.0086
657.0,0.0043
658.0,0.0006
659.0,0.0056
660.0,0.0034
661.0,0.0116
662.0,0.002
663.0,0.0032
664.0,0.0011
665.0,0.0083
666.0,0.0069
667.0,0.0057
668.0,-0.0039
669.0,-0.0053
670.0,0.0036
671.0,0.0058
672.0,0.0096
673.0,-0.0068
674.0,0.0013
675.0,-0.0064
676.0,-0.0027
677.0,0.0009
678.0,0.0068
679.0,-0.0006
680.0,-0.0016
681.0,0.0004
682.0,0.0082
683.0,0.014
684.0,-0.0058
685.0,0.0005
686.0,-0.0003
687.0,0.0077
688.0,0.004
689.0,0.0095
690.0,-0.0033
691.0,0.0019
692.0,-0.0005
693.0,-0.0037
694.0,0.001
695.0,-0.0042
696.0,0.0126
697.0,0.0038
698.0,-0.0034
699.0,-0.0013
700.0,0.0104
701.0,-0.0007
702.0,0.0051
703.0,0.0046
704.0,0.0071
705.0,0.0048
706.0,0.0006
707.0,-0.0013
708.0,-0.0073
709.0,0.0014
710.0,0.0023
711.0,-0.0002
712.0,0.0009
713.0,-0.0045
714.0,0.0124
715.0,-0.001
716.0,-0.0036
717.0,-0.0015
718.0,0.0007
719.0,0.0052
720.0,-0.0106
721.0,0.0041
722.0,-0.0016
723.0,0.0006
724.0,0.0066
725.0,0.0053
726.0,-0.0019
727.0,0.001
728.0,0.0108
729.0,0.0082
730.0,0.0058
731.0,0.0015
732.0,0.0062
733.0,0.0034
734.0,-0.0013
735.0,-0.0036
736.0,0.004
737.0,0.0033
738.0,0.0074
739.0,-0.001
740.0,0.0084
741.0,-0.0005
742.0,0.0076
743.0,0.0041
744.0,-0.0015
745.0,-0.0034
746.0,0.0007
747.0,-0.0
748.0,0.006
749.0,-0.0022
750.0,-0.0061
751.0,0.0012
752.0,0.0109
753.0,0.0095
754.0,-0.0018
755.0,-0.0001
756.0,0.0029
757.0,-0.0021
758.0,0.0
759.0,-0.0001
760.0,-0.004
761.0,-0.0019
762.0,-0.0012
763.0,0.0024
764.0,-0.0047
765.0,0.0017
766.0,-0.0037
767.0,-0.0029
768.0,-0.0044
769.0,0.0212
770.0,0.0075
771.0,0.0079
772.0,0.0052
773.0,-0.0
774.0,0.0015
775.0,0.0026
776.0,0.0034
777.0,0.0041
778.0,0.0088
779.0,-0.0137
780.0,-0.0017
781.0,0.0045
782.0,-0.0007
783.0,0.0003
784.0,0.0085
785.0,0.002
786.0,0.01
787.0,0.0008
788.0,0.0022
789.0,-0.0043
790.0,-0.0089
791.0,-0.001
792.0,0.0013
793.0,-0.0007
794.0,-0.0057
795.0,0.0043
796.0,0.0014
797.0,0.0011
798.0,-0.0029
799.0,0.0092
