# Nanoindentation load-displacement (load-hold-unload). Synthetic.
depth_nm,load_mN
164.573,84.4617
165.829,85.4254
167.085,86.3866
168.342,87.3659
169.598,88.4058
170.854,89.388
172.111,90.3378
173.367,91.2451
174.623,92.2763
175.879,93.315
177.136,94.3042
178.392,95.2389
179.648,96.3483
180.905,97.4571
182.161,98.2814
183.417,99.365
184.673,100.4654
185.93,101.3896
187.186,102.4197
188.442,103.4815
189.698,104.5379
190.955,105.5288
192.211,106.6417
193.467,107.5442
194.724,108.7224
195.98,109.7616
197.236,110.7921
198.492,111.8797
199.749,112.9263
201.005,114.0574
202.261,115.0382
203.518,116.1329
204.774,117.1425
206.03,118.236
207.286,119.3638
208.543,120.3849
209.799,121.5105
211.055,122.58
212.312,123.7183
213.568,124.8487
214.824,125.9932
216.08,126.9554
217.337,128.1521
218.593,129.3182
219.849,130.46
221.106,131.5805
222.362,132.5609
223.618,133.7325
224.874,134.9152
226.131,136.0658
227.387,137.168
228.643,138.3054
229.899,139.4455
231.156,140.5396
232.412,141.7336
233.668,142.9168
234.925,144.013
236.181,145.2455
237.437,146.2046
238.693,147.4934
239.95,148.7609
241.206,149.8887
242.462,151.0894
243.719,152.1997
244.975,153.3116
246.231,154.5264
247.487,155.8124
248.744,156.8317
250.0,158.0662
250.0,158.0282
250.203,158.0872
250.407,158.0928
250.61,158.1429
250.814,158.0727
251.017,158.1996
251.22,158.1463
251.424,158.0903
251.627,158.0643
251.831,158.039
252.034,158.1201
252.237,158.2131
252.441,158.1059
252.644,158.0626
252.847,158.1111
253.051,158.0882
253.254,158.0688
253.458,158.0192
253.661,158.1112
253.864,158.1883
254.068,158.1755
254.271,158.1633
254.475,158.1246
254.678,158.1378
254.881,158.1647
255.085,158.1115
255.288,158.1283
255.492,158.0943
255.695,158.1709
255.898,158.068
256.102,158.1484
256.305,158.1571
256.508,158.1562
256.712,158.15
256.915,158.0912
257.119,158.0862
257.322,158.0938
257.525,158.0957
257.729,158.0581
257.932,158.0922
258.136,158.0826
258.339,158.067
258.542,158.1327
258.746,158.0767
258.949,158.127
259.153,158.1882
259.356,158.199
259.559,158.1156
259.763,158.1658
259.966,158.1272
260.169,158.2344
260.373,158.1972
260.576,158.1707
260.78,158.107
260.983,158.1023
261.186,158.1422
261.39,158.1132
261.593,158.1024
261.797,158.1497
262.0,158.0522
262.0,158.0144
261.236,156.9525
260.472,155.8364
259.709,154.7835
258.945,153.6394
258.181,152.571
257.417,151.3793
256.653,150.457
255.889,149.3077
255.126,148.1513
254.362,147.1197
253.598,146.0772
252.834,144.9714
252.07,143.8408
251.307,142.7946
250.543,141.729
249.779,140.547
249.015,139.4608
248.251,138.4311
247.487,137.4407
246.724,136.3981
245.96,135.2655
245.196,134.2719
244.432,133.1862
243.668,132.0746
242.905,130.9853
242.141,129.9374
241.377,128.9233
240.613,127.9418
239.849,126.8677
239.085,125.7166
238.322,124.6797
237.558,123.7441
236.794,122.6773
236.03,121.5865
235.266,120.6375
234.503,119.6439
233.739,118.5895
232.975,117.5316
232.211,116.5728
231.447,115.4679
230.683,114.442
229.92,113.4124
229.156,112.5437
228.392,111.5474
227.628,110.4333
226.864,109.4625
226.101,108.4555
225.337,107.4825
224.573,106.5006
223.809,105.4828
223.045,104.4545
222.281,103.4463
221.518,102.437
220.754,101.3753
219.99,100.5233
219.226,99.5103
218.462,98.5804
217.698,97.6031
216.935,96.5889
216.171,95.6504
215.407,94.7341
214.643,93.7623
213.879,92.7529
213.116,91.8055
212.352,90.921
211.588,89.9561
210.824,89.0142
210.06,88.0481
209.296,87.1538
208.533,86.1847
207.769,85.373
207.005,84.2915
206.241,83.3519
205.477,82.545
204.714,81.5364
203.95,80.5818
203.186,79.7265
202.422,78.6754
201.658,77.9039
200.894,76.9753
200.131,76.0837
199.367,75.129
198.603,74.3373
197.839,73.3923
197.075,72.4839
196.312,71.6144
195.548,70.6689
194.784,69.822
194.02,68.874
193.256,68.018
192.492,67.2153
191.729,66.3369
190.965,65.5019
190.201,64.5685
189.437,63.7364
188.673,62.8511
187.91,62.0452
187.146,61.2218
186.382,60.3897
185.618,59.5217
184.854,58.6138
184.09,57.8277
183.327,56.9325
182.563,56.059
181.799,55.3379
181.035,54.511
180.271,53.7252
179.508,52.914
178.744,51.9994
177.98,51.2076
177.216,50.4482
176.452,49.6513
175.688,48.871
174.925,47.9917
174.161,47.2548
173.397,46.5135
172.633,45.794
171.869,44.8581
171.106,44.2273
170.342,43.3613
169.578,42.5367
168.814,41.9125
168.05,41.0337
167.286,40.2737
166.523,39.6171
165.759,38.8861
164.995,38.0949
164.231,37.3168
163.467,36.5438
162.704,35.8934
161.94,35.045
161.176,34.3673
160.412,33.7754
159.648,33.0402
158.884,32.3613
158.121,31.6163
157.357,30.8388
156.593,30.224
155.829,29.419
155.065,28.8579
154.302,28.2096
153.538,27.4143
152.774,26.8434
152.01,26.1265
151.246,25.4538
150.482,24.7054
149.719,24.1435
148.955,23.5469
148.191,22.775
147.427,22.199
146.663,21.5555
145.899,20.8821
145.136,20.3939
144.372,19.7262
143.608,19.1163
142.844,18.5579
142.08,17.8713
141.317,17.4774
140.553,16.7033
139.789,16.0857
139.025,15.599
138.261,15.0159
137.497,14.3846
136.734,13.8294
135.97,13.3645
135.206,12.7923
134.442,12.2597
133.678,11.7505
132.915,11.1516
132.151,10.7267
131.387,10.1539
130.623,9.6846
129.859,9.1062
129.095,8.7008
128.332,8.1961
127.568,7.8328
126.804,7.2363
126.04,6.8637
125.276,6.3711
124.513,5.9786
123.749,5.4821
122.985,5.0737
122.221,4.528
121.457,4.1744
120.693,3.9003
119.93,3.4901
119.166,3.1399
118.402,2.7327
117.638,2.4421
116.874,2.0557
116.111,1.7556
115.347,1.5195
114.583,1.2296
113.819,0.8893
113.055,0.6694
112.291,0.4579
111.528,0.2462
110.764,0.0915
110.0,-0.0462
